Time Window,Date,Underlying,TEF.MC,REP.MC,BBVA.MC
250,2000-09-08,BBVA.MC,,,1.0
250,2000-09-11,TEF.MC,1.0,,
250,2000-09-11,REP.MC,,1.0,
250,2000-09-11,BBVA.MC,,,1.0
250,2000-09-12,TEF.MC,1.0,,
250,2000-09-12,REP.MC,,1.0,
250,2000-09-12,BBVA.MC,,,1.0
250,2000-09-13,TEF.MC,1.0,,
250,2000-09-13,REP.MC,,1.0,
250,2000-09-13,BBVA.MC,,,1.0
250,2000-09-14,TEF.MC,1.0,,
250,2000-09-14,REP.MC,,1.0,
250,2000-09-14,BBVA.MC,,,1.0
250,2000-09-15,TEF.MC,1.0,,
250,2000-09-15,REP.MC,,1.0,
250,2000-09-15,BBVA.MC,,,1.0
250,2000-09-18,TEF.MC,1.0,,
250,2000-09-18,REP.MC,,1.0,
250,2000-09-18,BBVA.MC,,,1.0
250,2000-09-19,TEF.MC,1.0,,
250,2000-09-19,REP.MC,,1.0,
250,2000-09-19,BBVA.MC,,,1.0
250,2000-09-20,TEF.MC,1.0,,
250,2000-09-20,REP.MC,,1.0,
250,2000-09-20,BBVA.MC,,,1.0
250,2000-09-21,TEF.MC,1.0,,
250,2000-09-21,REP.MC,,1.0,
250,2000-09-21,BBVA.MC,,,1.0
250,2000-09-22,TEF.MC,1.0,,
250,2000-09-22,REP.MC,,1.0,
250,2000-09-22,BBVA.MC,,,1.0
250,2000-09-25,TEF.MC,1.0,,
250,2000-09-25,REP.MC,,1.0,
250,2000-09-25,BBVA.MC,,,1.0
250,2000-09-26,TEF.MC,1.0,,
250,2000-09-26,REP.MC,,1.0,
250,2000-09-26,BBVA.MC,,,1.0
250,2000-09-27,TEF.MC,1.0,,
250,2000-09-27,REP.MC,,1.0,
250,2000-09-27,BBVA.MC,,,1.0
250,2000-09-28,TEF.MC,1.0,,
250,2000-09-28,REP.MC,,1.0,
250,2000-09-28,BBVA.MC,,,1.0
250,2000-09-29,TEF.MC,1.0,,
250,2000-09-29,REP.MC,,1.0,
250,2000-09-29,BBVA.MC,,,1.0
250,2000-10-02,TEF.MC,1.0,,
250,2000-10-02,REP.MC,,1.0,
250,2000-10-02,BBVA.MC,,,1.0
250,2000-10-03,TEF.MC,1.0,,
250,2000-10-03,REP.MC,,1.0,
250,2000-10-03,BBVA.MC,,,1.0
250,2000-10-04,TEF.MC,1.0,,
250,2000-10-04,REP.MC,,1.0,
250,2000-10-04,BBVA.MC,,,1.0
250,2000-10-05,TEF.MC,1.0,,
250,2000-10-05,REP.MC,,1.0,
250,2000-10-05,BBVA.MC,,,1.0
250,2000-10-06,TEF.MC,1.0,,
250,2000-10-06,REP.MC,,1.0,
250,2000-10-06,BBVA.MC,,,1.0
250,2000-10-09,TEF.MC,1.0,,
250,2000-10-09,REP.MC,,1.0,
250,2000-10-09,BBVA.MC,,,1.0
250,2000-10-10,TEF.MC,1.0,,
250,2000-10-10,REP.MC,,1.0,
250,2000-10-10,BBVA.MC,,,1.0
250,2000-10-11,TEF.MC,1.0,,
250,2000-10-11,REP.MC,,1.0,
250,2000-10-11,BBVA.MC,,,1.0
250,2000-10-12,TEF.MC,1.0,,
250,2000-10-12,REP.MC,,1.0,
250,2000-10-12,BBVA.MC,,,1.0
250,2000-10-13,TEF.MC,1.0,,
